name,gdp,tariff,
Aruba,37775,N/A,
Afghanistan,409,N/A,
Angola,2884,0.32,
Albania,10527,N/A,
Andorra,45263,N/A,
United Arab Emirates,51294,N/A,
Argentina,14362,N/A,
Armenia,8857,N/A,
American Samoa,18018,N/A,
Antigua and Barbuda,28850,N/A,
Australia,64548,N/A,
Austria,58192,0.2,
Azerbaijan,7604,N/A,
Burundi,490,N/A,
Belgium,57772,N/A,
Benin,1532,N/A,
Burkina Faso,1107,N/A,
Bangladesh,2689,0.37,
Bulgaria,18522,0.2,
Bahrain,28857,,
"Bahamas, The",36784,N/A,
Bosnia and Herzegovina,8362,0.36,
Belarus,7875,N/A,
Belize,8648,N/A,
Bermuda,125842,N/A,
Bolivia,4525,N/A,
Brazil,9964,0.37,
Barbados,25901,N/A,
Brunei Darussalam,34970,0.24,
Bhutan,4302,N/A,
Botswana,7021,0.38,
Central African Republic,532,N/A,
Canada,53558,0.47,
Switzerland,104896,0.31,
Channel Islands,74589,,
Chile,17015,N/A,
China,13688,0.84,
Cote d'Ivoire,60453,0.21,
Cameroon,1865,0.12,
"Congo, Dem. Rep.",743,0.11,
"Congo, Rep.",2356,N/A,
Colombia,8054,N/A,
Comoros,1865,N/A,
Cabo Verde,5421,N/A,
Costa Rica,19095,N/A,
Cuba,4649.493722,N/A,
Curacao,30713.80846,N/A,
Cayman Islands,67842.76678,N/A,
Cyprus,41132,0.2,
Czechia,33039,0.2,
Germany,55911,0.2,
Djibouti,4343,N/A,
Dominica,18476.01864,N/A,
Denmark,74969,0.2,
Dominican Republic,260562.3291,N/A,
Algeria,5691,0.3,
Ecuador,6485.935354,N/A,
"Egypt, Arab Rep.",71045.71741,N/A,
Eritrea,N/A,N/A,
Spain,36192,0.2,
Estonia,32760,0.2,
Ethiopia,1066,N/A,
Finland,54163,0.2,
Fiji,6740,0.32,
France,46792,0.2,
Faroe Islands,373501.3399,N/A,
"Micronesia, Fed. Sts.",2281.807689,N/A,
Gabon,2431936.914,N/A,
United Kingdom,30974.83854,N/A,
Georgia,16603.12957,N/A,
Ghana,5522.530509,N/A,
Gibraltar,N/A,N/A,
Guinea,5745300.465,N/A,
"Gambia, The",26800.08392,N/A,
Guinea-Bissau,453485.4939,N/A,
Equatorial Guinea,7750,0.13,
Greece,25756,0.2,
Grenada,21339.5,,
Greenland,N/A,N/A,
Guatemala,32544.85974,N/A,
Guam,N/A,N/A,
Guyana,32326,0.38,
"Hong Kong SAR, China",384949.5097,N/A,
Honduras,22900.94056,N/A,
Croatia,25674,0.2,
Haiti,50932.26166,N/A,
Hungary,24809,0.2,
Indonesia,5027,0.32,
Isle of Man,N/A,N/A,
India,2878,0.27,
Ireland,108920,0.2,
"Iran, Islamic Rep.",183403742.9,N/A,
Iraq,5668,0.39,
Iceland,7795926.627,N/A,
Israel,57760,0.17,
Italy,41091,0.2,
Jamaica,321143.2213,N/A,
Jordan,4903,0.2,
Japan,33956,0.24,
Kazakhstan,15100,0.27,
Kenya,187932.1895,N/A,
Kyrgyz Republic,104384.3719,N/A,
Cambodia,2870,0.49,
Kiribati,2749.743545,N/A,
St. Kitts and Nevis,48821.71393,N/A,
"Korea, Rep.",38589254.2,N/A,
Kuwait,8335.300445,N/A,
Laos,2096,0.48,
Lebanon,N/A,N/A,
Liberia,908,N/A,
Libya,6801,0.31,
St. Lucia,32012.15941,N/A,
Latin America & Caribbean,N/A,N/A,
Liechtenstein,N/A,0.37,
Sri Lanka,4325,0.44,
Lesotho,1098,0.5,
Lithuania,30835,0.2,
Luxembourg,140941,,
Latvia,24374,0.2,
